,transID,cumid,time,amount,type_label,type
24317,15491,40198,25JUL09:18:10:04,319.0,normal,Normal
24318,16563,40198,01AUG09:11:20:10,299.0,normal,Normal
24319,22915,40198,21SEP09:21:52:43,199.0,normal,Normal
24320,24165,40198,06OCT09:12:38:00,24.0,sepecial_offer,Special_offer
24321,25752,40198,30OCT09:21:23:12,149.0,normal,Normal
24322,28294,40198,24JAN10:17:27:26,0.0,giveaway,Presented
24323,38184,40198,13JUN10:12:10:00,0.0,giveaway,Presented
24324,38740,40198,15JUN10:20:47:36,399.0,normal,Normal
24325,42352,40198,03JUL10:17:02:35,28.0,normal,Normal
24326,53119,40198,22SEP10:09:52:05,0.0,giveaway,Presented
24327,48681,40198,08AUG10:21:36:26,399.0,normal,Normal
24328,5125,40198,19MAY09:15:01:48,269.0,normal,Normal
24329,8286,40198,07JUN09:19:30:01,249.0,normal,Normal
24330,9403,40198,14JUN09:17:55:14,369.0,normal,Normal
24331,24601,40198,11OCT09:19:55:35,100.0,sepecial_offer,Special_offer
24332,28055,40198,20JAN10:15:26:16,194.0,normal,Normal
24333,29858,40198,13MAR10:16:51:24,349.0,normal,Normal
24334,30696,40198,09APR10:14:38:48,0.0,giveaway,Presented
24335,33222,40198,15MAY10:15:12:27,0.0,giveaway,Presented
24336,43708,40198,09JUL10:20:36:36,254.0,normal,Normal
24337,48441,40198,07AUG10:16:10:46,60.0,normal,Normal
24338,53397,40198,23SEP10:19:32:12,99.0,normal,Normal
24339,19683,40198,20AUG09:21:27:56,179.0,sepecial_offer,Special_offer
24340,20980,40198,01SEP09:20:30:45,239.0,normal,Normal
24341,41907,40198,30JUN10:17:07:00,0.0,giveaway,Presented
24342,3491,40199,15MAY09:12:14:11,99.0,normal,Normal
24343,23931,40199,03OCT09:13:37:56,174.0,sepecial_offer,Special_offer
24344,24218,40199,06OCT09:21:40:04,149.0,sepecial_offer,Special_offer
24345,30085,40199,21MAR10:15:06:41,296.0,normal,Normal
24346,31257,40199,24APR10:20:30:00,0.0,giveaway,Presented
24347,39727,40199,19JUN10:17:58:03,0.0,giveaway,Presented
24348,47243,40199,30JUL10:14:46:35,167.0,normal,Normal
24349,50570,40199,23AUG10:18:01:09,0.0,giveaway,Presented
24350,31860,40199,03MAY10:16:52:27,0.0,giveaway,Presented
24351,35948,40199,01JUN10:15:13:11,0.0,giveaway,Presented
24352,36817,40199,05JUN10:18:23:04,-239.0,return,returned_goods
24353,49431,40199,15AUG10:12:01:04,279.0,normal,Normal
24354,4437,40199,17MAY09:16:40:51,399.0,normal,Normal
24355,8071,40199,06JUN09:17:11:35,15.0,normal,Normal
24356,10612,40199,22JUN09:20:03:17,299.0,normal,Normal
24357,15515,40199,25JUL09:19:21:36,399.0,normal,Normal
24358,25556,40199,25OCT09:20:32:46,239.0,normal,Normal
24359,32500,40199,09MAY10:15:05:02,0.0,giveaway,Presented
24360,36792,40199,05JUN10:16:42:00,0.0,giveaway,Presented
24361,51117,40199,30AUG10:16:00:08,0.0,giveaway,Presented
24362,19606,40199,20AUG09:16:51:01,0.0,giveaway,Presented
24363,21487,40199,07SEP09:16:57:37,199.0,normal,Normal
24364,22947,40199,22SEP09:19:35:43,332.0,normal,Normal
24365,34642,40199,23MAY10:18:06:35,404.0,normal,Normal
24366,4011,40200,15MAY09:18:45:47,249.0,normal,Normal
24367,4109,40200,15MAY09:19:13:55,369.0,normal,Normal
24368,11599,40200,29JUN09:19:22:38,2.0,normal,Normal
24369,20003,40200,23AUG09:12:29:51,22.0,sepecial_offer,Special_offer
24370,23525,40200,29SEP09:20:50:55,199.0,sepecial_offer,Special_offer
24371,26703,40200,19DEC09:20:42:07,332.0,normal,Normal
24372,40061,40200,20JUN10:21:57:42,0.0,giveaway,Presented
24373,41451,40200,28JUN10:14:36:50,0.0,giveaway,Presented
24374,41930,40200,30JUN10:19:44:06,0.0,giveaway,Presented
24375,42897,40200,05JUL10:18:26:03,269.0,normal,Normal
24376,51529,40200,03SEP10:20:57:40,0.0,giveaway,Presented
24377,51668,40200,05SEP10:19:57:54,551.0,normal,Normal
24378,52950,40200,19SEP10:14:28:09,100.0,normal,Normal
24379,38828,40200,16JUN10:14:06:56,0.0,giveaway,Presented
24380,51970,40200,08SEP10:21:26:58,0.0,giveaway,Presented
24381,4584,40200,18MAY09:13:35:39,224.0,normal,Normal
24382,12370,40200,05JUL09:11:48:43,199.0,normal,Normal
24383,24597,40200,11OCT09:19:51:06,263.0,normal,Normal
24384,25462,40200,24OCT09:19:38:33,161.0,normal,Normal
24385,34075,40200,21MAY10:13:40:41,45.0,normal,Normal
24386,34233,40200,22MAY10:10:44:24,269.0,normal,Normal
24387,38894,40200,16JUN10:16:31:42,404.0,normal,Normal
24388,49386,40200,14AUG10:19:48:30,0.0,giveaway,Presented
24389,52731,40200,16SEP10:20:42:52,0.0,giveaway,Presented
24390,53405,40200,23SEP10:19:40:40,0.0,giveaway,Presented
24391,17224,40200,04AUG09:21:29:01,269.0,normal,Normal
